,Life Ladder_2007,Life Ladder_2008,Life Ladder_2009,Life Ladder_2010,Life Ladder_2011,Life Ladder_2012,Life Ladder_2013,Life Ladder_2014,Life Ladder_2015,Life Ladder_2016,Life Ladder_2017,Life Ladder_2018,Life Ladder_2019,Life Ladder_2020,Life Ladder_2021,Log GDP per capita_2007,Log GDP per capita_2008,Log GDP per capita_2009,Log GDP per capita_2010,Log GDP per capita_2011,Log GDP per capita_2012,Log GDP per capita_2013,Log GDP per capita_2014,Log GDP per capita_2015,Log GDP per capita_2016,Log GDP per capita_2017,Log GDP per capita_2018,Log GDP per capita_2019,Log GDP per capita_2020,Log GDP per capita_2021,Social support_2007,Social support_2008,Social support_2009,Social support_2010,Social support_2011,Social support_2012,Social support_2013,Social support_2014,Social support_2015,Social support_2016,Social support_2017,Social support_2018,Social support_2019,Social support_2020,Social support_2021,Healthy life expectancy at birth_2007,Healthy life expectancy at birth_2008,Healthy life expectancy at birth_2009,Healthy life expectancy at birth_2010,Healthy life expectancy at birth_2011,Healthy life expectancy at birth_2012,Healthy life expectancy at birth_2013,Healthy life expectancy at birth_2014,Healthy life expectancy at birth_2015,Healthy life expectancy at birth_2016,Healthy life expectancy at birth_2017,Healthy life expectancy at birth_2018,Healthy life expectancy at birth_2019,Healthy life expectancy at birth_2020,Healthy life expectancy at birth_2021,Freedom to make life choices_2007,Freedom to make life choices_2008,Freedom to make life choices_2009,Freedom to make life choices_2010,Freedom to make life choices_2011,Freedom to make life choices_2012,Freedom to make life choices_2013,Freedom to make life choices_2014,Freedom to make life choices_2015,Freedom to make life choices_2016,Freedom to make life choices_2017,Freedom to make life choices_2018,Freedom to make life choices_2019,Freedom to make life choices_2020,Freedom to make life choices_2021,Generosity_2007,Generosity_2008,Generosity_2009,Generosity_2010,Generosity_2011,Generosity_2012,Generosity_2013,Generosity_2014,Generosity_2015,Generosity_2016,Generosity_2017,Generosity_2018,Generosity_2019,Generosity_2020,Generosity_2021,Perceptions of corruption_2007,Perceptions of corruption_2008,Perceptions of corruption_2009,Perceptions of corruption_2010,Perceptions of corruption_2011,Perceptions of corruption_2012,Perceptions of corruption_2013,Perceptions of corruption_2014,Perceptions of corruption_2015,Perceptions of corruption_2016,Perceptions of corruption_2017,Perceptions of corruption_2018,Perceptions of corruption_2019,Perceptions of corruption_2020,Perceptions of corruption_2021
Afghanistan,4.558258089976322,3.7239999999999998,4.402,4.758,3.832,3.783,3.572,3.1310000000000002,3.983,4.22,2.662,2.694,2.375,2.6367513812154693,2.523,7.539947119179163,7.37,7.54,7.647,7.62,7.705,7.725,7.718,7.702000000000001,7.697,7.697,7.692,7.697,7.749881215469613,7.695,0.5311696921862669,0.451,0.552,0.539,0.521,0.521,0.484,0.526,0.529,0.5589999999999999,0.491,0.508,0.42,0.4829558011049724,0.46299999999999997,51.37036069455407,50.8,51.2,51.6,51.92,52.24,52.56,52.88,53.2,53.0,52.8,52.6,52.4,53.04881767955802,52.493,0.6849644830307813,0.718,0.679,0.6,0.496,0.531,0.578,0.509,0.389,0.523,0.42700000000000005,0.374,0.39399999999999996,0.3593232044198893,0.382,0.25097000789265994,0.168,0.19,0.121,0.162,0.23600000000000002,0.061,0.10400000000000001,0.08,0.042,-0.121,-0.094,-0.10800000000000001,-0.10562707182320447,-0.102,0.764528808208366,0.882,0.85,0.7070000000000001,0.731,0.7759999999999999,0.823,0.871,0.8809999999999999,0.7929999999999999,0.9540000000000001,0.9279999999999999,0.924,0.9206878453038673,0.924
Albania,4.6339999999999995,5.125414201183432,5.485,5.269,5.867000000000001,5.51,4.551,4.814,4.607,4.511,4.64,5.004,4.995,5.365,5.117,9.142000000000001,9.22918047337278,9.262,9.302999999999999,9.331,9.347000000000001,9.359,9.378,9.402999999999999,9.437000000000001,9.476,9.517999999999999,9.544,9.497,9.52,0.821,0.7842248520710058,0.833,0.733,0.759,0.785,0.759,0.626,0.639,0.638,0.638,0.684,0.6859999999999999,0.71,0.6970000000000001,65.8,65.959275147929,66.2,66.4,66.68,66.96,67.24,67.52,67.8,68.1,68.4,68.7,69.0,69.3,68.999,0.529,0.5203165680473374,0.525,0.569,0.48700000000000004,0.602,0.632,0.735,0.7040000000000001,0.73,0.75,0.8240000000000001,0.777,0.754,0.785,-0.009000000000000001,-0.1392544378698225,-0.158,-0.172,-0.205,-0.16899999999999998,-0.127,-0.025,-0.081,-0.017,-0.028999999999999998,0.009000000000000001,-0.099,0.006999999999999999,-0.03,0.875,0.835292899408284,0.8640000000000001,0.726,0.877,0.848,0.863,0.883,0.885,0.9009999999999999,0.8759999999999999,0.899,0.914,0.8909999999999999,0.9009999999999999
Argentina,6.0729999999999995,5.961,6.4239999999999995,6.441,6.776,6.468,6.582000000000001,6.671,6.697,6.4270000000000005,6.039,5.792999999999999,6.086,5.901,5.928999999999999,10.017999999999999,10.048,9.977,10.066,10.112,10.091000000000001,10.103,10.067,10.083,10.051,10.067,10.032,10.0,9.85,9.962,0.862,0.892,0.919,0.927,0.889,0.902,0.91,0.9179999999999999,0.9259999999999999,0.883,0.907,0.9,0.8959999999999999,0.897,0.898,66.94,67.06,67.18,67.3,67.48,67.66,67.84,68.02,68.2,68.4,68.6,68.8,69.0,69.2,69.0,0.653,0.6779999999999999,0.637,0.73,0.816,0.747,0.737,0.745,0.8809999999999999,0.848,0.8320000000000001,0.846,0.8170000000000001,0.823,0.828,-0.141,-0.132,-0.13,-0.126,-0.174,-0.14800000000000002,-0.13,-0.16399999999999998,-0.174,-0.192,-0.18600000000000003,-0.21100000000000002,-0.21100000000000002,-0.122,-0.182,0.8809999999999999,0.865,0.885,0.855,0.755,0.8170000000000001,0.823,0.8540000000000001,0.851,0.851,0.841,0.855,0.83,0.816,0.8340000000000001
Armenia,4.882,4.652,4.178,4.368,4.26,4.32,4.277,4.453,4.348,4.325,4.288,5.062,5.4879999999999995,4.901260355029585,5.2829999999999995,9.181000000000001,9.256,9.111,9.136000000000001,9.182,9.249,9.277000000000001,9.307,9.334,9.333,9.402000000000001,9.451,9.522,9.478218934911244,9.487,0.76,0.7090000000000001,0.68,0.66,0.705,0.6759999999999999,0.723,0.7390000000000001,0.723,0.7090000000000001,0.698,0.8140000000000001,0.782,0.7682426035502958,0.799,64.9,65.0,65.1,65.2,65.36,65.52,65.68,65.84,66.0,66.3,66.6,66.9,67.2,67.05977810650886,67.055,0.605,0.462,0.441,0.45899999999999996,0.465,0.502,0.504,0.506,0.551,0.611,0.614,0.8079999999999999,0.8440000000000001,0.7560207100591716,0.825,-0.251,-0.215,-0.214,-0.17600000000000002,-0.225,-0.215,-0.195,-0.218,-0.203,-0.17,-0.147,-0.163,-0.172,-0.1611094674556213,-0.168,0.8170000000000001,0.8759999999999999,0.882,0.8909999999999999,0.875,0.893,0.9,0.92,0.9009999999999999,0.9209999999999999,0.865,0.677,0.583,0.7265562130177514,0.629
Australia,7.285,7.254,7.336073342736248,7.45,7.406000000000001,7.196000000000001,7.364,7.289,7.309,7.25,7.257000000000001,7.1770000000000005,7.234,7.1370000000000005,7.183,10.703,10.719000000000001,10.727545839210155,10.722000000000001,10.732999999999999,10.754000000000001,10.762,10.772,10.779000000000002,10.790999999999999,10.798,10.811,10.815,10.76,10.796,0.965,0.9470000000000001,0.9525458392101549,0.955,0.9670000000000001,0.945,0.9279999999999999,0.924,0.9520000000000001,0.9420000000000001,0.95,0.94,0.943,0.937,0.94,71.72,71.88,71.93370944992948,72.2,72.3,72.4,72.5,72.6,72.7,73.0,73.3,73.6,73.9,74.2,73.9,0.8909999999999999,0.9159999999999999,0.9227334273624823,0.932,0.945,0.935,0.9329999999999999,0.9229999999999999,0.922,0.922,0.9109999999999999,0.9159999999999999,0.9179999999999999,0.905,0.914,0.34700000000000003,0.305,0.33915937940761626,0.317,0.369,0.27399999999999997,0.26899999999999996,0.319,0.332,0.239,0.317,0.146,0.121,0.21,0.159,0.513,0.431,0.4161057827926658,0.366,0.382,0.368,0.43200000000000005,0.442,0.35700000000000004,0.39899999999999997,0.41100000000000003,0.405,0.43,0.491,0.442
Austria,7.3057557221783735,7.181,7.2925552486187835,7.303,7.471,7.401,7.499,6.95,7.0760000000000005,7.047999999999999,7.294,7.396,7.195,7.212999999999999,7.268,10.873365430149962,10.887,10.878011049723758,10.860999999999999,10.887,10.889000000000001,10.883,10.882,10.880999999999998,10.890999999999998,10.908,10.927999999999999,10.939,10.850999999999999,10.905999999999999,0.9308729281767958,0.935,0.930497237569061,0.914,0.9440000000000001,0.945,0.95,0.899,0.9279999999999999,0.9259999999999999,0.9059999999999999,0.912,0.9640000000000001,0.925,0.934,70.72385161799527,71.08,71.12132596685083,71.4,71.54,71.68,71.82,71.96,72.1,72.4,72.7,73.0,73.3,73.6,73.3,0.9025335438042622,0.879,0.9028066298342543,0.8959999999999999,0.9390000000000001,0.92,0.922,0.885,0.9,0.889,0.89,0.904,0.903,0.912,0.9079999999999999,0.22693764798737173,0.29100000000000004,0.19753591160220993,0.131,0.132,0.11800000000000001,0.168,0.11800000000000001,0.099,0.08,0.133,0.053,0.06,0.011000000000000001,0.042,0.7055220994475139,0.614,0.6711961325966851,0.546,0.703,0.7709999999999999,0.679,0.5670000000000001,0.557,0.524,0.518,0.523,0.457,0.46399999999999997,0.48100000000000004
Azerbaijan,4.5680000000000005,4.817,4.574,4.218999999999999,4.68,4.9110000000000005,5.481,5.252000000000001,5.147,5.303999999999999,5.152,5.167999999999999,5.172999999999999,5.340467455621302,5.171,9.386000000000001,9.465,9.533999999999999,9.568999999999999,9.54,9.549,9.592,9.607000000000001,9.606,9.564,9.555,9.562000000000001,9.575,9.602535502958577,9.568999999999999,0.753,0.684,0.736,0.687,0.725,0.762,0.77,0.799,0.7859999999999999,0.777,0.787,0.7809999999999999,0.887,0.8346745562130178,0.836,62.26,62.64,63.02,63.4,63.64,63.88,64.12,64.36,64.6,64.9,65.2,65.5,65.8,65.88229585798817,65.656,0.522,0.601,0.498,0.501,0.537,0.599,0.672,0.733,0.764,0.713,0.731,0.772,0.8540000000000001,0.8300118343195266,0.8140000000000001,-0.207,-0.028999999999999998,-0.087,-0.12300000000000001,-0.105,-0.14,-0.168,-0.20800000000000002,-0.198,-0.204,-0.225,-0.23199999999999998,-0.214,-0.2364112426035503,-0.223,0.871,0.715,0.754,0.858,0.795,0.763,0.6990000000000001,0.654,0.616,0.607,0.653,0.561,0.457,0.5124289940828404,0.506
Bahrain,5.240388969521046,5.345564586357041,5.7010000000000005,5.937,4.824,5.027,6.69,6.165,6.007000000000001,6.17,6.227,6.397320754716982,7.098,6.172999999999999,6.647,10.749917755200775,10.746788582486698,10.709000000000001,10.706,10.696,10.716,10.757,10.783,10.785,10.780999999999999,10.770999999999999,10.715496855345913,10.715,10.62,10.669,0.9079671610169492,0.9042039194915255,0.904,0.877,0.9079999999999999,0.9109999999999999,0.884,0.8816244703389831,0.853,0.863,0.8759999999999999,0.8665715042372881,0.878,0.848,0.862,65.26532414126754,65.5863038219642,65.94,66.3,66.58,66.86,67.14,67.42,67.7,68.1,68.5,68.79610062893082,69.3,69.7,69.495,0.7986398305084746,0.8074300847457627,0.8959999999999999,0.862,0.87,0.682,0.809,0.8601716101694916,0.85,0.889,0.9059999999999999,0.8953326271186441,0.907,0.945,0.925,-0.0154746835443038,-0.005751054852320678,0.037000000000000005,-0.001,-0.051,0.03314345991561181,0.04286708860759493,0.05259071729957805,0.11199999999999999,0.08800000000000001,0.136,0.09148523206751054,0.048,0.132,0.08900000000000001,0.5107071428571429,0.5232,0.506,0.715,0.583,0.43799999999999994,0.525,0.5981571428571428,0.61065,0.6231428571428572,0.6356357142857143,0.6481285714285714,0.6606214285714286,0.6731142857142858,0.722
Bangladesh,4.607,5.052,5.083,4.8580000000000005,4.986000000000001,4.724,4.66,4.636,4.633,4.556,4.31,4.499,5.114,5.28,5.025,7.8389999999999995,7.886,7.9239999999999995,7.9670000000000005,8.017999999999999,8.07,8.116,8.164,8.216000000000001,8.274,8.334,8.399,8.467,8.472000000000001,8.454,0.514,0.467,0.528,0.5489999999999999,0.606,0.5820000000000001,0.53,0.5770000000000001,0.601,0.649,0.713,0.706,0.6729999999999999,0.7390000000000001,0.693,59.44,59.86,60.28,60.7,61.12,61.54,61.96,62.38,62.8,63.3,63.8,64.3,64.8,65.3,64.8,0.605,0.606,0.631,0.659,0.838,0.6679999999999999,0.742,0.736,0.815,0.875,0.8959999999999999,0.9009999999999999,0.902,0.777,0.877,0.04,-0.044000000000000004,-0.075,-0.016,-0.069,-0.034,-0.016,-0.098,-0.068,-0.08900000000000001,0.012,-0.043,-0.051,-0.009000000000000001,-0.040999999999999995,0.8059999999999999,0.802,0.7759999999999999,0.774,0.757,0.765,0.743,0.789,0.721,0.688,0.635,0.701,0.6559999999999999,0.742,0.682
Belarus,5.617000000000001,5.462999999999999,5.564,5.526,5.225,5.749,5.876,5.812,5.718999999999999,5.178,5.553,5.234,5.821000000000001,5.5573224852071,5.534,9.576,9.677,9.681000000000001,9.758,9.812000000000001,9.83,9.839,9.856,9.815,9.788,9.814,9.846,9.86,9.885615384615384,9.853,0.858,0.904,0.9079999999999999,0.9179999999999999,0.91,0.902,0.9229999999999999,0.88,0.924,0.927,0.9,0.905,0.917,0.9165502958579882,0.91,61.4,61.7,62.0,62.3,62.88,63.46,64.04,64.62,65.2,65.5,65.8,66.1,66.4,66.7722573964497,66.253,0.667,0.64,0.679,0.7,0.6559999999999999,0.645,0.723,0.647,0.623,0.6579999999999999,0.621,0.644,0.657,0.6438816568047337,0.65,-0.225,-0.22,-0.203,-0.163,-0.168,-0.217,-0.177,-0.048,-0.091,-0.125,-0.122,-0.174,-0.18600000000000003,-0.13495857988165677,-0.18,0.695,0.696,0.6759999999999999,0.706,0.672,0.657,0.653,0.682,0.669,0.664,0.654,0.718,0.546,0.6311183431952663,0.627
